patients_ahead,queue_length,active_doctors,avg_consultation_time,emergency_load,is_walk_in,hour,waiting_time
2,17,1,17.02,3,1,13,48.81
20,27,2,12.02,2,1,11,247.57
4,25,1,11.01,10,1,15,77.09
18,15,5,18.93,9,1,18,342.42
14,3,4,15.52,4,1,17,205.31
16,3,3,15.85,0,0,13,243.41
2,21,1,18.46,8,1,15,62.21
1,15,5,19.08,5,1,16,11.09
1,15,1,21.79,5,0,16,35.75
1,8,4,24.85,8,0,13,23.58
9,13,4,21.17,10,0,18,198.47
2,11,1,17.49,6,1,12,52.71
19,28,2,13.67,9,0,13,279.78
20,23,4,10.19,1,1,16,199.11
10,27,2,19.39,10,0,18,219.12
16,12,1,14.16,2,0,13,236.1
15,7,2,25.0,2,0,12,375.94
3,17,5,22.2,8,0,18,64.46
19,5,5,14.4,2,0,17,258.27
5,24,4,8.74,5,0,15,46.82
14,8,5,12.07,7,0,13,163.71
18,15,4,21.08,6,1,10,385.12
19,5,3,8.89,7,1,16,177.7
16,28,1,12.85,2,1,15,225.59
4,27,4,9.56,3,1,13,45.04
13,2,4,16.53,3,1,9,203.69
0,11,1,22.27,10,1,10,19.88
9,30,4,19.83,2,1,15,181.65
2,1,3,11.67,2,1,9,18.59
7,10,1,8.81,6,1,9,72.79
15,20,5,8.28,8,0,10,123.1
0,20,3,12.09,6,0,18,8.68
16,12,1,24.21,8,0,14,408.06
1,21,4,24.68,4,0,13,26.06
11,8,1,21.12,5,0,8,239.79
10,27,2,22.12,10,1,15,248.98
4,3,4,8.63,3,0,11,25.87
10,30,3,16.76,8,1,12,181.98
20,7,3,14.07,0,1,12,269.12
11,14,4,20.64,6,1,10,228.96
15,12,5,12.53,1,1,9,173.32
5,18,3,13.46,1,1,18,64.26
14,20,4,10.83,7,1,15,154.09
11,20,4,12.67,0,0,18,130.72
11,17,2,24.2,2,1,8,267.93
7,25,3,14.16,9,0,17,111.13
14,12,3,15.55,1,0,16,209.33
10,21,3,12.24,1,0,10,119.92
12,30,5,10.0,4,1,11,125.99
9,23,4,11.4,2,0,15,94.85
14,3,3,19.35,1,1,12,265.96
20,6,3,16.65,1,0,10,320.34
15,1,3,17.42,5,1,16,256.07
2,3,3,14.77,7,1,14,36.27
2,5,3,18.92,7,1,18,42.51
4,29,5,18.88,2,0,14,69.03
1,27,1,16.81,4,0,10,31.53
7,12,5,23.21,1,1,11,149.85
17,9,2,18.63,9,0,16,330.54
18,19,2,10.91,9,1,17,212.3
0,3,1,24.13,9,1,18,14.61
18,14,5,18.86,7,1,18,343.1
15,8,4,13.06,1,0,10,181.24
15,15,2,13.78,2,1,13,213.59
11,13,2,20.93,8,0,13,240.16
3,9,4,12.21,1,0,12,27.6
19,14,2,24.37,2,1,17,469.16
6,25,2,16.47,8,1,15,124.11
15,1,1,24.07,8,1,11,372.69
11,2,1,12.78,9,1,12,157.98
3,14,2,23.0,5,1,13,74.46
1,19,5,11.31,8,1,9,13.67
14,25,5,12.76,9,0,10,188.82
12,12,3,17.48,5,0,11,211.82
12,17,1,8.77,2,1,15,115.94
4,20,5,10.38,9,1,10,46.43
19,24,3,18.09,8,1,17,357.77
0,12,3,19.45,6,1,18,1.27
15,9,5,17.82,0,1,10,250.04
19,25,4,10.51,10,0,8,212.96
3,7,1,15.5,6,0,14,58.9
13,17,5,23.65,0,0,16,288.01
10,22,4,16.93,5,0,15,174.45
10,18,3,19.49,10,1,17,211.74
7,9,5,13.07,4,1,11,83.92
15,11,4,13.93,4,1,9,206.18
17,13,4,21.91,2,1,8,363.89
2,12,4,19.15,7,0,11,41.58
8,30,5,19.83,2,0,17,155.09
7,8,1,19.39,8,0,18,148.04
3,14,3,20.2,1,0,8,59.23
5,14,4,16.12,3,1,13,74.44
1,30,1,19.09,3,0,10,34.27
5,30,1,24.95,6,1,10,154.13
9,29,1,8.16,9,0,13,98.76
20,18,5,16.4,2,1,12,315.86
3,11,2,20.43,10,1,10,74.93
10,26,3,17.65,3,0,17,184.08
12,27,4,16.76,1,1,18,195.57
4,16,3,23.91,0,1,14,88.99
8,11,3,17.9,9,0,12,153.25
7,2,1,15.91,2,1,18,114.41
9,23,1,18.86,4,1,17,184.43
4,16,2,15.73,9,1,14,83.96
15,25,5,21.63,3,0,18,320.56
2,17,4,16.98,5,0,17,28.58
17,29,5,11.44,8,0,10,198.2
16,15,1,19.57,9,1,9,340.53
14,26,1,15.71,8,1,15,247.56
17,15,3,20.3,6,1,8,354.99
18,3,1,15.2,1,0,9,277.01
15,2,3,14.95,2,1,13,222.19
12,15,4,14.39,10,0,18,183.73
3,6,5,14.68,2,0,8,28.61
9,15,5,15.21,6,0,11,131.0
4,9,2,23.94,1,0,18,91.44
0,8,2,9.14,9,0,15,12.98
1,8,1,14.84,3,0,8,16.24
9,8,5,13.42,9,1,11,118.81
4,22,5,11.76,4,1,8,44.6
18,29,2,18.64,6,1,8,359.78
20,22,4,21.36,5,1,14,427.67
12,6,5,16.05,3,1,10,182.66
1,18,4,24.45,8,0,14,26.88
6,11,1,23.68,5,0,16,154.81
6,2,3,14.41,9,0,9,87.35
18,24,5,11.69,3,1,12,210.98
0,7,2,24.36,1,1,11,0.46
6,13,2,17.39,4,1,15,112.15
11,10,3,14.11,7,1,9,165.28
15,25,3,23.54,5,1,14,359.11
7,24,2,8.28,8,1,12,75.45
10,8,4,17.69,3,1,16,171.41
10,9,4,24.43,10,1,15,248.49
11,6,2,20.25,7,0,16,234.6
1,17,1,22.26,1,0,8,26.89
20,8,1,20.02,0,0,16,399.0
1,20,5,23.52,10,1,8,26.58
17,14,1,8.28,4,1,8,153.86
13,26,2,9.82,1,0,11,129.57
16,9,3,12.54,6,0,13,206.81
14,19,2,24.83,3,1,18,359.46
2,21,1,9.59,6,1,16,39.44
20,1,2,9.41,6,1,17,198.39
3,29,5,23.63,3,0,17,66.13
1,30,1,19.64,4,0,10,41.92
10,1,2,17.98,6,0,12,178.92
7,19,4,19.51,8,1,14,147.62
4,26,1,16.51,5,0,9,83.42
2,11,5,21.07,9,1,13,38.94
8,26,4,16.34,5,1,14,133.58
18,22,4,9.46,9,1,11,184.35
2,9,2,14.46,10,0,14,41.59
3,3,1,24.03,7,1,12,81.61
2,6,4,15.63,8,1,9,28.52
11,18,1,18.15,5,1,8,214.54
12,25,1,20.32,8,0,17,267.58
12,6,2,12.57,4,1,10,150.49
13,9,4,13.1,1,1,12,164.19
20,16,5,18.48,7,0,10,364.71
12,11,5,14.46,5,1,13,166.3
20,20,2,13.11,9,0,15,278.29
12,11,3,20.49,10,1,17,262.23
10,13,3,21.88,6,1,9,229.62
6,19,5,11.06,8,0,15,71.28
6,15,3,22.13,1,1,18,130.28
20,10,2,12.3,2,1,14,243.65
19,16,5,14.81,8,1,16,278.83
11,23,5,18.09,1,0,11,189.12
11,6,5,8.75,10,1,13,101.94
13,4,1,9.68,3,0,15,127.53
14,25,5,19.74,2,1,8,270.65
9,14,1,9.97,2,1,12,97.19
6,17,4,13.92,1,1,15,75.22
9,2,1,8.38,5,0,18,84.46
7,17,2,17.38,5,1,15,130.5
12,21,2,11.17,10,1,14,152.81
19,29,2,15.64,6,1,8,318.76
6,9,1,17.81,8,0,13,120.65
14,4,3,19.4,7,1,17,274.51
12,19,1,13.91,7,0,18,187.54
9,30,5,18.03,10,0,13,168.47
9,4,2,14.35,2,1,14,129.08
18,13,4,11.16,10,0,16,204.01
9,5,2,13.35,7,0,13,131.15
15,5,2,21.86,8,1,14,341.23
13,23,4,16.31,1,0,11,203.42
8,8,5,12.91,7,1,16,99.37
18,4,3,21.18,5,0,15,378.65
13,4,2,13.06,0,1,12,163.28
2,15,1,21.19,3,0,17,52.76
19,21,4,10.82,2,0,11,203.17
18,12,5,12.78,8,0,13,231.8
9,10,5,12.54,8,0,10,113.53
13,30,1,24.87,10,0,10,350.84
10,27,2,20.95,10,1,15,232.37
20,9,4,14.38,1,0,14,274.21
8,23,3,15.73,7,1,17,134.36
2,24,4,18.79,5,0,16,38.56
13,27,2,16.41,5,1,13,230.31
4,19,4,21.4,10,0,8,91.1
14,1,1,23.8,2,1,15,330.71
13,7,2,23.0,4,0,12,296.39
11,9,1,14.32,10,0,8,176.0
9,24,2,15.3,1,0,8,138.81
2,5,5,11.85,10,1,8,19.27
10,27,1,24.8,6,0,15,264.19
12,3,1,9.75,5,1,10,125.38
4,21,2,9.16,9,0,17,56.65
14,12,2,18.68,2,1,17,266.35
6,3,1,10.38,1,1,13,68.41
10,26,2,12.21,10,0,11,145.66
19,24,5,12.84,0,1,11,234.21
16,7,4,13.02,0,0,15,190.75
7,16,5,9.21,0,1,13,46.77
18,14,3,17.29,2,1,9,305.35
2,1,3,11.67,0,1,16,9.7
16,25,4,15.2,6,0,18,248.08
19,5,3,9.42,1,0,10,168.87
12,19,1,13.27,6,0,8,173.22
13,4,4,18.41,0,1,18,226.73
5,4,1,20.03,0,0,15,101.7
16,17,3,10.84,2,1,9,176.63
0,11,4,12.62,1,1,17,0.0
15,15,5,14.12,7,0,13,204.9
3,29,5,19.46,1,0,16,44.91
0,8,1,16.02,6,0,10,15.31
1,18,4,11.82,3,1,13,7.53
2,19,3,10.03,10,0,10,31.79
16,2,4,9.17,7,1,12,143.02
17,15,1,14.27,4,1,17,253.54
11,19,4,24.96,3,0,10,265.15
13,1,2,17.21,10,0,13,229.2
12,28,3,9.77,8,0,14,132.13
1,5,3,9.58,3,1,13,5.67
2,19,1,16.59,10,1,9,61.6
1,14,2,12.03,4,1,14,22.03
10,11,4,12.62,1,0,10,116.53
18,4,2,9.8,7,1,13,184.4
17,12,2,15.68,7,1,9,275.51
9,27,5,8.69,5,0,9,78.78
11,13,5,8.83,4,1,10,84.96
12,28,4,17.45,8,0,9,219.03
4,4,1,9.05,3,0,11,42.43
11,22,1,17.9,4,0,8,215.87
6,29,4,21.76,1,1,9,125.48
14,2,2,23.71,6,1,15,333.24
13,6,3,11.65,2,1,12,145.91
4,2,5,18.53,3,1,15,58.22
17,16,1,9.49,6,0,14,173.35
16,8,5,21.51,6,1,15,338.64
15,12,5,16.54,6,1,10,239.37
19,8,1,23.23,4,0,15,448.63
18,8,2,9.7,10,0,12,188.98
1,25,2,17.79,6,1,10,32.05
18,11,3,23.54,0,1,17,417.81
18,7,4,17.22,2,1,8,296.29
7,20,2,8.34,7,0,13,76.55
6,26,2,13.79,2,1,8,87.98
18,23,2,21.16,8,1,9,400.19
12,19,1,13.72,5,0,10,181.48
13,26,4,19.04,2,1,11,249.12
5,13,3,20.48,4,0,10,104.18
18,13,5,8.55,9,1,17,153.62
18,4,4,10.39,1,0,13,175.86
5,21,1,21.97,10,1,15,133.46
6,8,1,13.96,1,0,8,83.61
13,6,4,16.38,6,1,16,209.72
15,26,5,19.07,10,0,10,293.51
1,10,1,13.42,1,0,13,12.12
12,6,1,17.3,1,1,17,215.45
15,23,1,15.33,10,0,17,260.38
5,2,1,13.63,3,1,16,75.36
17,9,3,13.06,1,0,14,214.17
15,5,1,14.13,6,0,12,224.75
20,20,4,11.39,0,0,10,219.27
2,16,1,13.24,6,1,15,48.43
8,3,5,14.59,5,1,13,103.07
1,9,4,15.91,3,1,17,5.02
3,3,3,21.74,6,0,16,59.33
12,27,5,15.12,8,1,17,192.72
15,10,1,14.71,0,0,9,225.17
14,6,2,24.53,3,0,8,341.61
13,7,2,22.18,4,1,9,288.71
17,13,5,13.54,4,1,8,225.62
19,19,5,21.29,1,1,10,390.47
18,19,1,23.72,9,0,12,453.2
11,29,4,12.49,10,1,17,155.98
1,6,3,14.85,9,1,8,22.81
10,23,2,8.84,7,1,13,102.08
9,10,3,22.33,10,0,11,207.3
14,25,3,12.58,6,0,11,185.04
13,24,4,20.91,5,0,16,276.76
2,10,5,14.86,8,0,10,22.64
6,27,1,12.24,7,0,13,97.99
8,12,4,16.59,10,0,18,134.0
11,16,5,15.58,7,1,13,168.06
8,24,1,12.85,6,0,10,125.31
6,28,2,19.01,10,0,12,139.55
16,1,1,16.06,2,0,17,259.46
7,9,5,21.69,4,1,14,146.26
11,15,3,11.71,4,1,17,128.33
16,22,3,17.54,9,1,12,299.56
15,3,3,24.8,10,1,12,379.14
20,10,2,10.55,3,0,17,211.02
10,22,2,20.26,10,1,12,224.21
13,13,4,20.52,9,0,13,273.58
7,22,5,18.85,7,1,16,132.96
5,27,5,11.08,1,1,10,51.31
17,25,2,24.1,5,0,11,420.71
9,14,3,14.32,9,1,15,145.38
15,2,5,17.87,9,0,15,265.87
16,4,4,17.01,6,0,10,262.49
6,11,4,24.78,7,0,13,151.82
5,25,1,16.29,10,0,13,110.29
0,15,3,11.56,2,0,15,0.0
2,5,5,15.37,6,1,14,27.9
12,1,1,17.07,5,0,13,212.96
16,7,1,19.5,10,0,11,332.51
11,10,2,9.75,8,1,10,116.86
1,10,3,15.75,8,1,14,28.63
4,11,4,14.11,3,0,14,43.12
7,24,2,11.59,0,0,9,81.8
20,26,1,14.38,10,1,16,319.8
19,2,1,19.11,0,0,9,358.27
12,4,5,12.3,2,0,18,129.86
9,14,1,19.26,4,0,14,186.67
3,17,5,10.0,1,0,15,12.49
6,25,3,22.14,3,1,14,137.27
1,18,4,23.48,7,1,11,24.5
2,30,1,22.2,10,1,10,81.89
16,3,1,23.38,10,0,15,395.49
9,9,4,8.85,2,0,12,66.76
10,14,1,9.61,0,0,10,99.78
5,11,3,23.21,9,1,9,126.26
10,6,1,14.81,7,1,14,165.03
15,26,4,19.03,2,0,10,284.42
1,28,2,9.76,9,1,17,36.55
5,20,4,21.25,9,0,18,118.03
4,16,4,9.92,6,1,8,38.31
20,11,1,19.98,10,0,18,423.78
16,17,5,9.62,10,0,15,155.86
20,13,2,22.26,8,0,8,459.21
5,17,4,22.48,2,0,15,103.12
10,9,1,16.62,8,1,14,187.85
2,15,4,21.62,7,0,15,44.21
3,16,1,9.74,6,0,16,44.73
2,26,5,24.37,10,1,16,60.37
20,22,4,24.16,5,0,11,487.56
10,18,5,18.2,10,1,15,185.13
7,1,3,14.04,10,1,16,106.98
3,2,2,16.37,6,0,12,53.22
6,4,4,11.67,3,1,9,63.56
1,30,5,10.09,7,1,18,17.99
16,5,4,8.07,0,1,17,114.51
16,25,2,19.76,2,0,9,321.55
19,20,3,16.57,6,1,17,328.99
7,9,4,24.38,4,1,10,162.55
19,23,5,13.08,8,1,16,255.37
6,7,5,20.14,10,1,18,118.69
20,6,5,17.22,10,1,9,348.05
17,16,5,17.7,10,1,18,309.39
17,10,4,21.74,8,0,8,369.41
1,22,1,11.4,2,1,18,21.9
1,23,3,11.47,8,0,13,27.11
3,20,5,22.7,10,1,11,76.22
9,23,1,23.75,6,1,18,233.38
17,2,1,20.64,3,1,11,360.04
20,12,5,17.29,9,0,11,342.79
5,22,1,11.18,2,0,14,61.3
8,18,3,10.21,9,1,8,94.99
4,2,2,23.79,9,0,18,105.3
9,16,5,17.35,1,1,16,141.37
5,17,1,21.37,2,1,16,117.7
2,12,2,23.02,10,1,13,63.64
6,25,5,17.02,8,0,9,107.3
14,8,5,23.62,3,0,18,319.49
12,30,1,14.56,8,1,8,207.83
11,17,5,15.57,0,1,18,154.74
16,3,1,10.85,8,0,18,181.69
20,25,2,22.7,6,0,11,468.96
13,21,1,20.7,2,0,15,280.73
1,3,1,8.92,4,0,17,16.64
8,14,4,15.67,6,1,13,122.52
3,18,1,18.9,9,0,17,74.17
2,12,5,9.8,10,1,17,19.47
14,13,4,21.98,0,1,10,297.5
4,24,4,21.55,8,1,18,93.62
20,12,1,17.41,8,0,9,360.62
18,20,4,17.13,1,1,11,305.85
11,7,4,23.4,8,0,10,253.69
19,27,3,11.3,2,0,16,216.88
17,3,3,19.42,4,0,11,326.87
15,11,3,10.18,10,0,9,161.05
2,29,2,13.4,7,1,17,49.9
18,5,5,17.64,5,1,10,303.01
7,26,2,20.11,10,1,12,170.15
4,22,3,22.92,7,1,13,107.44
15,18,1,10.99,9,0,12,190.41
4,29,5,11.34,10,0,9,58.78
16,21,1,21.81,9,1,17,372.67
1,18,3,17.24,8,1,18,32.99
11,13,2,23.15,9,1,10,271.85
16,3,4,14.19,0,0,17,210.31
16,5,4,10.71,9,0,15,176.2
1,8,4,11.94,4,1,11,2.37
6,17,3,14.6,7,0,8,99.89
10,4,5,18.77,4,1,17,176.15
5,13,4,14.21,10,0,16,75.07
7,17,4,14.0,5,1,15,103.37
0,17,2,15.48,3,0,16,5.93
6,5,2,10.68,9,0,18,71.85
10,24,1,16.19,7,1,11,186.77
20,27,4,8.38,0,0,17,162.06
4,21,5,8.67,9,0,8,34.83
5,17,4,18.19,9,0,18,100.66
2,7,4,18.31,7,1,10,34.32
13,20,2,21.51,2,1,10,288.85
10,30,4,18.14,1,0,14,177.27
3,1,2,16.89,8,1,10,61.21
5,16,5,18.2,8,0,9,89.81
4,29,5,17.17,0,1,16,60.38
1,23,5,15.29,7,1,13,19.68
18,4,4,10.28,7,0,9,178.8
17,14,3,11.21,0,0,16,177.7
20,7,3,14.95,1,0,14,291.02
8,9,5,15.2,5,1,18,113.08
6,14,5,21.32,7,0,13,124.54
15,9,3,17.82,6,0,18,264.99
7,15,2,9.7,8,1,13,87.44
19,23,1,10.73,10,0,9,233.65
15,30,5,15.4,1,1,11,224.73
19,2,4,23.82,6,1,17,444.19
5,21,4,15.46,3,1,11,72.15
19,17,5,19.87,9,0,18,374.46
7,21,1,24.59,1,1,14,181.13
12,13,5,11.41,0,0,9,118.86
17,30,5,13.92,4,0,17,239.23
14,30,4,17.77,4,0,14,251.89
17,3,5,13.0,1,1,16,205.67
18,9,4,24.42,9,1,11,447.69
14,22,4,23.24,0,1,9,316.95
12,21,2,19.51,3,1,14,248.14
16,18,1,19.91,4,0,12,326.55
10,3,5,23.83,7,1,13,229.02
18,9,2,24.1,10,0,15,450.69
7,24,2,22.84,3,0,11,171.21
19,12,2,21.24,1,0,18,406.15
15,20,1,20.99,8,0,15,334.59
10,16,5,22.77,7,0,16,222.49
7,25,5,10.18,8,1,15,82.16
1,17,3,14.69,10,0,15,32.96
16,15,3,19.72,0,0,14,308.78
10,12,5,22.65,2,1,11,212.21
19,11,3,11.13,6,0,14,215.91
11,12,4,12.75,2,0,17,132.15
3,24,3,21.67,8,1,14,77.97
4,16,1,11.0,7,0,18,61.18
10,26,4,13.1,8,0,14,136.0
5,2,2,21.83,7,0,15,116.62
8,12,3,17.53,4,1,8,141.33
11,28,5,11.38,9,0,12,130.76
16,16,4,23.12,6,1,15,374.3
4,28,2,18.89,5,1,18,93.68
12,28,1,9.34,5,0,13,129.31
9,23,3,18.29,6,1,15,178.93
11,24,5,16.86,7,1,10,186.25
0,5,2,19.25,1,0,10,0.0
3,3,4,17.32,0,1,16,39.12
2,4,3,18.51,1,1,12,26.31
9,15,2,10.23,2,0,8,95.22
10,28,4,15.94,8,1,16,171.87
17,6,5,18.16,10,1,16,311.1
17,10,3,16.19,3,0,15,269.28
13,9,2,13.16,0,0,13,163.46
17,1,4,24.1,7,1,8,409.83
9,20,2,21.55,8,1,11,212.02
17,14,4,12.25,10,1,14,215.43
2,14,2,16.78,9,1,12,53.05
17,26,3,15.02,1,0,10,253.23
20,15,5,15.7,9,1,11,315.65
4,2,5,8.38,1,1,12,10.76
14,24,1,11.96,2,0,15,175.58
13,10,4,24.97,7,0,13,319.35
4,2,3,21.19,1,1,10,72.67
8,27,4,22.08,1,0,14,174.85
14,8,1,11.39,1,0,15,159.3
9,30,3,10.7,0,0,12,96.08
9,7,3,23.09,10,0,9,213.65
13,11,1,10.85,4,0,14,152.38
0,2,5,21.32,7,0,13,0.0
7,6,4,9.55,9,1,18,66.48
11,21,2,19.92,1,0,15,218.98
17,26,3,21.69,7,0,8,382.69
11,24,2,12.26,0,1,15,140.47
17,23,4,11.23,2,1,13,191.67
8,28,5,23.55,8,0,9,193.68
14,10,3,17.21,7,0,18,244.96
5,29,1,18.54,5,0,13,114.39
17,27,4,11.23,10,1,16,203.91
9,11,4,18.9,1,0,16,159.15
1,27,2,11.04,0,0,9,14.39
3,2,5,18.91,6,1,16,48.97
18,9,1,14.23,9,0,8,277.91
6,21,4,23.78,1,1,18,133.8
17,24,4,21.97,0,1,16,363.97
2,27,3,9.32,3,0,9,25.4
17,13,2,11.28,10,0,17,209.56
5,18,5,15.06,1,1,18,63.88
